DEPTH,ML,NET,STA,DISTANCE,RN,TN,RA,TA,UTC
7.5,1.41,IW,LOHW,84.5,2.0324e-05,3.2528e-05,2.5188e-05,3.2748e-05,2020-02-08T02:22:01
7.5,1.41,IW,MOOW,66.3,1.2914e-05,1.0253e-05,1.9457e-05,1.4486e-05,2020-02-08T02:22:01
7.5,1.41,IW,SNOW,97.2,2.9582e-05,3.4434e-05,4.0947e-05,5.0722e-05,2020-02-08T02:22:01
7.5,1.41,RE,JKLK1,60.3,9.7107e-05,0.00011696,0.00015097,0.00011607,2020-02-08T02:22:01
7.5,1.41,RE,JKLK2,61.0,3.7417e-05,4.6751e-05,4.2375e-05,3.8718e-05,2020-02-08T02:22:01
7.5,1.41,RE,JKLK,60.3,7.9402e-05,0.00011103,8.1266e-05,9.3862e-05,2020-02-08T02:22:01
7.5,1.41,WY,YDD,35.2,3.7812e-05,2.9725e-05,0.00011666,8.1172e-05,2020-02-08T02:22:01
7.5,1.41,WY,YEE,90.2,0.00070705,0.00039209,0.0002649,0.00014178,2020-02-08T02:22:01
7.5,1.41,WY,YFT,20.2,5.2634e-05,6.1098e-05,0.000369,0.00029674,2020-02-08T02:22:01
7.5,1.41,WY,YHB,50.7,3.2685e-05,3.7727e-05,2.0702e-05,1.9779e-05,2020-02-08T02:22:01
7.5,1.41,WY,YHL,61.1,2.5362e-05,2.4787e-05,5.8479e-05,3.1739e-05,2020-02-08T02:22:01
7.5,1.41,WY,YMP,82.3,5.4227e-05,3.5367e-05,2.0787e-05,1.7844e-05,2020-02-08T02:22:01
7.5,1.41,WY,YMR,39.3,3.9178e-05,4.7595e-05,0.00019777,0.00015894,2020-02-08T02:22:01
7.5,1.41,WY,YNE,110.2,2.4933e-05,2.7063e-05,8.1162e-06,5.5789e-06,2020-02-08T02:22:01
7.5,1.41,WY,YNM,51.5,0.00021469,0.00022032,0.00010481,0.00014612,2020-02-08T02:22:01
7.5,1.41,WY,YNR,51.4,2.6658e-05,2.8178e-05,3.9077e-05,2.9316e-05,2020-02-08T02:22:01
7.5,1.41,WY,YPP,16.7,3.9355e-05,2.8365e-05,0.00063985,0.00055812,2020-02-08T02:22:01
7.5,1.41,WY,YTP,57.9,2.9019e-05,1.6212e-05,3.3651e-05,2.816e-05,2020-02-08T02:22:01
7.5,1.41,WY,YUF,59.0,4.5415e-05,6.9679e-05,4.2475e-05,4.1671e-05,2020-02-08T02:22:01
3.8,1.68,IW,LOHW,131.4,1.7184e-05,3.2546e-05,9.0203e-06,8.0654e-06,2020-02-06T09:18:02
3.8,1.68,IW,MOOW,116.2,2.1938e-05,1.7686e-05,1.5149e-05,1.7109e-05,2020-02-06T09:18:02
3.8,1.68,IW,SNOW,148.3,5.6723e-05,5.2827e-05,3.0115e-05,2.522e-05,2020-02-06T09:18:02
3.8,1.68,RE,JKLK1,103.8,9.2894e-05,9.5181e-05,4.9749e-05,5.7658e-05,2020-02-06T09:18:02
3.8,1.68,RE,JKLK2,104.5,4.8024e-05,3.8743e-05,1.9516e-05,8.2147e-06,2020-02-06T09:18:02
3.8,1.68,RE,JKLK,103.9,6.3648e-05,7.1474e-05,9.2551e-05,6.3068e-05,2020-02-06T09:18:02
3.8,1.68,US,BOZ,116.2,4.5083e-05,2.2872e-05,2.4776e-05,2.4791e-05,2020-02-06T09:18:02
3.8,1.68,US,RLMT,117.6,1.8465e-05,5.1369e-05,4.6114e-05,1.1592e-05,2020-02-06T09:18:02
3.8,1.68,WY,YDD,45.1,2.6096e-05,2.1468e-05,9.01e-06,1.2188e-05,2020-02-06T09:18:02
3.8,1.68,WY,YEE,71.2,0.00015443,0.00038461,0.00017305,0.00045518,2020-02-06T09:18:02
3.8,1.68,WY,YFT,39.9,4.9423e-05,7.5649e-05,1.0643e-05,3.5687e-05,2020-02-06T09:18:02
3.8,1.68,WY,YHB,40.8,5.6436e-05,3.2353e-05,2.1764e-05,1.8394e-05,2020-02-06T09:18:02
3.8,1.68,WY,YHL,40.0,2.82e-05,2.2866e-05,2.0311e-05,2.0152e-05,2020-02-06T09:18:02
3.8,1.68,WY,YMP,42.2,5.0742e-05,4.3856e-05,1.521e-05,1.5188e-05,2020-02-06T09:18:02
3.8,1.68,WY,YMR,26.3,3.4703e-05,5.6846e-05,7.9652e-05,6.0371e-05,2020-02-06T09:18:02
