Evid,Date,Time,EqLat,EqLon,EqDep,EqML,EqMC,N,Dmin,ErrZ,ErrR,Net,Sta,Cmp,SLat,SLon,SElev,Repi,Rhyp,SML,Corr,AmpE,UnE,PerE,SnrE,AmpN,UnN,PerN,SnrN
50104615,1994-09-24,15:04:39.50,44.664,-110.473,2.79,3.70,3.58,2,9,0.8,0.4,MB,BUT,ELN,46.010834,-112.55666,1.758,221.6,221.647,3.97,-.23,7.09627,mm,nan,nan,7.09627,mm,nan,nan
50104615,1994-09-24,15:04:39.50,44.664,-110.473,2.79,3.70,3.58,2,9,0.8,0.4,US,DUG,BHN,40.195,-112.8133,1.477,532.5,532.517,3.43,.08,.05596,mm,nan,nan,.08557,mm,nan,nan
50120615,1995-08-28,03:16:24.39,44.136,-110.319,5.88,4.18,4.22,3,29,3.1,0.9,MB,BUT,ELN,46.010834,-112.55666,1.758,272.9,273.007,3.87,-.23,3.16979,mm,nan,nan,3.16979,mm,nan,nan
50120615,1995-08-28,03:16:24.39,44.136,-110.319,5.88,4.18,4.22,3,29,3.1,0.9,US,DUG,BHN,40.195,-112.8133,1.477,483.9,483.956,4.26,.08,.4649,mm,nan,nan,.73166,mm,nan,nan
50120615,1995-08-28,03:16:24.39,44.136,-110.319,5.88,4.18,4.22,3,29,3.1,0.9,UU,SLC,ELN,40.76617,-111.84766,1.436,394.9,394.968,4.42,-.21,3,mm,nan,nan,3.8,mm,nan,nan
50120635,1995-08-28,05:01:55.66,44.123,-110.390,1.84,3.18,3.64,2,44,15.3,3.1,MB,BUT,ELN,46.010834,-112.55666,1.758,270.5,270.524,2.97,-.23,.39905,mm,nan,nan,.39905,mm,nan,nan
50120635,1995-08-28,05:01:55.66,44.123,-110.390,1.84,3.18,3.64,2,44,15.3,3.1,US,DUG,BHN,40.195,-112.8133,1.477,480.1,480.111,3.38,.08,.06745,mm,nan,nan,.09009,mm,nan,nan
50123595,1995-11-17,13:14:38.13,44.600,-111.155,6.25,1.91,1.97,2,4,1.1,0.6,MB,BUT,ELN,46.010834,-112.55666,1.758,191.5,191.667,1.87,-.23,.07962,mm,nan,nan,.07962,mm,nan,nan
50123595,1995-11-17,13:14:38.13,44.600,-111.155,6.25,1.91,1.97,2,4,1.1,0.6,US,LKWY,BHN,44.5652,-110.4,2.424,60.1,60.7227,1.95,.06,.35703,mm,nan,nan,.13755,mm,nan,nan
50124045,1995-11-28,06:45:19.46,44.762,-110.899,7.68,2.53,2.55,2,5,0.5,0.5,MB,BUT,ELN,46.010834,-112.55666,1.758,190,190.234,2.57,-.23,.39905,mm,nan,nan,.39905,mm,nan,nan
50124045,1995-11-28,06:45:19.46,44.762,-110.899,7.68,2.53,2.55,2,5,0.5,0.5,US,LKWY,BHN,44.5652,-110.4,2.424,45.2,46.3156,2.48,.06,2.0134,mm,nan,nan,1.3059,mm,nan,nan
50124525,1995-11-30,15:07:47.48,44.758,-110.898,5.87,2.85,2.61,2,5,0.5,0.4,MB,BUT,ELN,46.010834,-112.55666,1.758,190.5,190.653,2.87,-.23,.79621,mm,nan,nan,.79621,mm,nan,nan
50124525,1995-11-30,15:07:47.48,44.758,-110.898,5.87,2.85,2.61,2,5,0.5,0.4,US,LKWY,BHN,44.5652,-110.4,2.424,44.9,45.6596,2.82,.06,4.5363,mm,nan,nan,2.6904,mm,nan,nan
50124810,1995-12-03,01:23:57.63,44.750,-110.904,8.80,2.82,2.57,2,6,0.7,0.5,MB,BUT,ELN,46.010834,-112.55666,1.758,190.7,190.992,3.07,-.23,1.26191,mm,nan,nan,1.26191,mm,nan,nan
50124810,1995-12-03,01:23:57.63,44.750,-110.904,8.80,2.82,2.57,2,6,0.7,0.5,US,LKWY,BHN,44.5652,-110.4,2.424,45,46.3786,2.56,.06,2.4066,mm,nan,nan,1.5795,mm,nan,nan
50126430,1996-01-17,10:04:13.28,44.651,-110.426,4.50,2.57,2.32,2,12,1.0,0.3,MB,BUT,ELN,46.010834,-112.55666,1.758,225.2,225.287,2.17,-.23,.10024,mm,nan,nan,.10024,mm,nan,nan
50126430,1996-01-17,10:04:13.28,44.651,-110.426,4.50,2.57,2.32,2,12,1.0,0.3,US,LKWY,BHN,44.5652,-110.4,2.424,9.8,11.9992,2.97,.06,67.931,mm,nan,nan,33.736,mm,nan,nan
50128575,1996-03-23,13:25:42.83,44.801,-111.026,8.30,2.05,1.97,2,5,0.6,0.6,MB,BUT,ELN,46.010834,-112.55666,1.758,180.1,180.381,2.17,-.23,.2,mm,nan,nan,.2,mm,nan,nan
50128575,1996-03-23,13:25:42.83,44.801,-111.026,8.30,2.05,1.97,2,5,0.6,0.6,US,LKWY,BHN,44.5652,-110.4,2.424,56.1,57.1158,1.93,.06,.34683,mm,nan,nan,.24318,mm,nan,nan
