Evid,Date,Time,EqLat,EqLon,EqDep,EqML,EqMC,N,Dmin,ErrZ,ErrR,Net,Sta,Cmp,SLat,SLon,SElev,Repi,Rhyp,SML,Corr,AmpE,UnE,PerE,SnrE,AmpN,UnN,PerN,SnrN,halfAmpH,CatMag,H,GoodDep
50169840,1999-03-06,15:30:27.62,44.23,-110.62799999999999,10.13,1.88,1.92,2,9.0,0.9,0.5,US,AHID,BH,42.7654,-111.1004,1.96,167.1,167.40400000000002,1.78,-0.43,0.09742999999999999,mm,,2.0,0.16,mm,,2.0,0.0643575,1.88,0.888450148075,True
50169840,1999-03-06,15:30:27.62,44.23,-110.62799999999999,10.13,1.88,1.92,2,9.0,0.9,0.5,US,LKWY,BH,44.5652,-110.4,2.424,41.5,42.821000000000005,1.97,0.06,0.67737,mm,,2.0,0.61665,mm,,2.0,0.32350500000000004,1.88,0.888450148075,True
50170605,1999-04-02,11:32:55.15,44.951,-111.48100000000001,8.13,2.21,2.41,2,32.0,1.8,1.8,MB,BUT,EL,46.010834,-112.55666000000001,1.758,144.7,144.915,2.37,-0.23,0.50238,mm,,2.0,0.50238,mm,,2.0,0.25119,2.21,3.93603936039,False
50170605,1999-04-02,11:32:55.15,44.951,-111.48100000000001,8.13,2.21,2.41,2,32.0,1.8,1.8,US,LKWY,BH,44.5652,-110.4,2.424,95.8,96.1811,2.04,0.06,0.24394000000000002,mm,,2.0,0.13435,mm,,2.0,0.0945725,2.21,3.93603936039,False
50170975,1999-04-14,12:19:11.55,44.048,-110.359,1.6,1.99,1.67,2,28.0,8.7,0.8,US,AHID,BH,42.7654,-111.1004,1.96,154.6,154.608,1.86,-0.43,0.17811,mm,,2.0,0.21331,mm,,2.0,0.097855,1.99,17.5,False
50170975,1999-04-14,12:19:11.55,44.048,-110.359,1.6,1.99,1.67,2,28.0,8.7,0.8,US,LKWY,BH,44.5652,-110.4,2.424,57.6,57.6355,2.11,0.06,0.35213,mm,,2.0,0.3601,mm,,2.0,0.1780575,1.99,17.5,False
50190200,1999-11-01,05:09:15.98,44.033,-110.854,8.51,1.96,2.15,3,17.0,1.4,0.5,US,AHID,BH,42.7654,-111.1004,1.96,142.3,142.55200000000002,1.9,-0.43,0.26119000000000003,mm,,2.0,0.28171,mm,,2.0,0.135725,1.96,1.9976498237400002,False
50190200,1999-11-01,05:09:15.98,44.033,-110.854,8.51,1.96,2.15,3,17.0,1.4,0.5,US,LKWY,BH,44.5652,-110.4,2.424,69.3,69.8735,2.21,0.06,0.44961999999999996,mm,,2.0,0.45343999999999995,mm,,2.0,0.22576500000000002,1.96,1.9976498237400002,False
50190200,1999-11-01,05:09:15.98,44.033,-110.854,8.51,1.96,2.15,3,17.0,1.4,0.5,WY,YMR,HH,44.66867,-110.965,2.149,71.1,71.6253,1.78,-0.38,0.45688,mm,,2.0,0.46353,mm,,2.0,0.23010250000000002,1.96,1.9976498237400002,False
50190980,1999-11-13,10:09:42.99,44.428999999999995,-110.46600000000001,7.16,1.79,1.63,2,10.0,1.1,0.4,US,LKWY,BH,44.5652,-110.4,2.424,16.0,17.7064,2.18,0.06,7.9608,mm,,2.0,5.2857,mm,,2.0,3.311625,1.79,1.3966480446899998,True
50190980,1999-11-13,10:09:42.99,44.428999999999995,-110.46600000000001,7.16,1.79,1.63,2,10.0,1.1,0.4,WY,YMR,HH,44.66867,-110.965,2.149,47.8,48.3556,1.4,-0.38,0.27654,mm,,2.0,0.33494,mm,,2.0,0.15287,1.79,1.3966480446899998,True
50191520,1999-11-21,05:43:17.33,44.607,-110.46,6.54,1.49,1.01,2,7.0,1.5,0.4,US,LKWY,BH,44.5652,-110.4,2.424,6.7,9.66371,1.95,0.06,6.9287,mm,,2.0,5.4177,mm,,2.0,3.0866,1.49,1.07033639144,True
50191520,1999-11-21,05:43:17.33,44.607,-110.46,6.54,1.49,1.01,2,7.0,1.5,0.4,WY,YMR,HH,44.66867,-110.965,2.149,40.6,41.1473,1.03,-0.38,0.15381,mm,,2.0,0.25448000000000004,mm,,2.0,0.1020725,1.49,1.07033639144,True
50195130,2000-02-14,23:06:08.64,44.7,-110.398,8.65,1.81,1.69,2,7.0,1.9,0.8,US,LKWY,BH,44.5652,-110.4,2.424,15.0,17.531,2.02,0.06,4.5108,mm,,2.0,4.5517,mm,,2.0,2.265625,1.81,0.809248554913,True
50195130,2000-02-14,23:06:08.64,44.7,-110.398,8.65,1.81,1.69,2,7.0,1.9,0.8,WY,YMR,HH,44.66867,-110.965,2.149,45.1,45.9503,1.6,-0.38,0.53342,mm,,2.0,0.68845,mm,,2.0,0.3054675,1.81,0.809248554913,True
50196435,2000-03-09,15:11:59.42,44.632,-110.74,6.52,0.79,0.68,2,8.0,1.6,0.8,US,LKWY,BH,44.5652,-110.4,2.424,28.0,28.8482,1.0,0.06,0.17232,mm,,2.0,0.10409000000000002,mm,,2.0,0.0691025,0.79,1.2269938650299999,True
50196435,2000-03-09,15:11:59.42,44.632,-110.74,6.52,0.79,0.68,2,8.0,1.6,0.8,WY,YMR,HH,44.66867,-110.965,2.149,18.3,19.4773,0.57,-0.38,0.34457,mm,,2.0,0.36034,mm,,2.0,0.1762275,0.79,1.2269938650299999,True
50196720,2000-03-14,13:26:58.17,44.717,-110.678,4.3,1.73,1.8,2,0.0,0.5,0.5,US,LKWY,BH,44.5652,-110.4,2.424,27.8,28.1985,1.86,0.06,0.8540000000000001,mm,,2.0,1.1632,mm,,2.0,0.5043,1.73,0.0,True
50196720,2000-03-14,13:26:58.17,44.717,-110.678,4.3,1.73,1.8,2,0.0,0.5,0.5,WY,YMR,HH,44.66867,-110.965,2.149,23.3,23.721,1.59,-0.38,1.9344,mm,,2.0,2.727,mm,,2.0,1.16535,1.73,0.0,True
50196885,2000-03-17,11:51:25.79,44.715,-110.679,5.11,2.03,2.01,2,0.0,0.9,0.5,US,LKWY,BH,44.5652,-110.4,2.424,27.7,28.2474,2.3,0.06,2.9794,mm,,2.0,2.4963,mm,,2.0,1.368925,2.03,0.0,True
50196885,2000-03-17,11:51:25.79,44.715,-110.679,5.11,2.03,2.01,2,0.0,0.9,0.5,WY,YMR,HH,44.66867,-110.965,2.149,23.3,23.8861,1.76,-0.38,2.9066,mm,,2.0,4.0497,mm,,2.0,1.739075,2.03,0.0,True
50199445,2000-04-12,15:13:59.46,44.721000000000004,-110.711,4.64,0.8,0.91,2,3.0,0.4,0.4,US,LKWY,BH,44.5652,-110.4,2.424,30.1,30.523000000000003,1.18,0.06,0.25231,mm,,2.0,0.16515,mm,,2.0,0.10436500000000001,0.8,0.646551724138,True
50199445,2000-04-12,15:13:59.46,44.721000000000004,-110.711,4.64,0.8,0.91,2,3.0,0.4,0.4,WY,YMR,HH,44.66867,-110.965,2.149,20.9,21.4417,0.41,-0.38,0.20647,mm,,2.0,0.28014,mm,,2.0,0.12165250000000001,0.8,0.646551724138,True
50201690,2000-05-23,01:10:35.91,45.138000000000005,-111.06200000000001,8.67,2.49,2.64,2,35.0,13.0,4.9,US,BOZ,BH,45.59697,-111.62966999999999,1.589,67.7,68.2019,2.76,0.0,1.9481,mm,,2.0,1.7056,mm,,2.0,0.913425,2.49,4.0369088812000005,False
50201690,2000-05-23,01:10:35.91,45.138000000000005,-111.06200000000001,8.67,2.49,2.64,2,35.0,13.0,4.9,WY,YMR,HH,44.66867,-110.965,2.149,52.7,53.4328,2.01,-0.38,0.76447,mm,,2.0,1.1852,mm,,2.0,0.4874175,2.49,4.0369088812000005,False
50207345,2000-09-17,21:09:28.47,44.695,-110.61,6.95,1.15,1.27,2,6.0,1.4,0.7,US,LKWY,BH,44.5652,-110.4,2.424,22.0,23.2029,1.02,0.06,0.31135,mm,,2.0,0.42212,mm,,2.0,0.1833675,1.15,0.863309352518,True
50207345,2000-09-17,21:09:28.47,44.695,-110.61,6.95,1.15,1.27,2,6.0,1.4,0.7,WY,YMR,HH,44.66867,-110.965,2.149,28.3,29.1768,1.27,-0.38,0.67274,mm,,2.0,0.74924,mm,,2.0,0.355495,1.15,0.863309352518,True
50211785,2000-11-08,06:35:57.82,44.44,-110.6,4.05,1.91,2.01,2,1.0,0.4,0.3,US,LKWY,BH,44.5652,-110.4,2.424,21.1,21.5691,2.19,0.06,7.5353,mm,,2.0,3.3069,mm,,2.0,2.71055,1.91,0.246913580247,True
50211785,2000-11-08,06:35:57.82,44.44,-110.6,4.05,1.91,2.01,2,1.0,0.4,0.3,WY,YMR,HH,44.66867,-110.965,2.149,38.5,38.7283,1.63,-0.38,0.8638899999999999,mm,,2.0,0.76585,mm,,2.0,0.407435,1.91,0.246913580247,True
50211790,2000-11-08,06:38:41.49,44.446999999999996,-110.603,2.39,1.39,1.37,2,2.0,0.7,0.4,US,LKWY,BH,44.5652,-110.4,2.424,20.8,20.9895,1.68,0.06,2.1458,mm,,2.0,1.1877,mm,,2.0,0.833375,1.39,0.836820083682,True
50211790,2000-11-08,06:38:41.49,44.446999999999996,-110.603,2.39,1.39,1.37,2,2.0,0.7,0.4,WY,YMR,HH,44.66867,-110.965,2.149,37.9,37.985,1.1,-0.38,0.23890999999999998,mm,,2.0,0.2392,mm,,2.0,0.11952750000000001,1.39,0.836820083682,True
50212515,2000-11-17,15:38:08.26,44.701,-109.947,16.78,2.17,2.72,3,20.0,2.7,3.6,US,BOZ,BH,45.59697,-111.62966999999999,1.589,165.6,166.407,2.77,0.0,0.53769,mm,,2.0,0.39266999999999996,mm,,2.0,0.23259000000000002,2.17,1.19189511323,False
50212515,2000-11-17,15:38:08.26,44.701,-109.947,16.78,2.17,2.72,3,20.0,2.7,3.6,WY,YMR,HH,44.66867,-110.965,2.149,80.8,82.5544,1.7,-0.38,0.2699,mm,,2.0,0.33436,mm,,2.0,0.151065,2.17,1.19189511323,False
50213160,2000-11-24,06:52:37.07,44.453,-110.617,3.81,1.37,1.44,2,3.0,0.5,0.5,US,LKWY,BH,44.5652,-110.4,2.424,21.3,21.7167,1.56,0.06,1.5043,mm,,2.0,1.0268,mm,,2.0,0.632775,1.37,0.787401574803,True
50213160,2000-11-24,06:52:37.07,44.453,-110.617,3.81,1.37,1.44,2,3.0,0.5,0.5,WY,YMR,HH,44.66867,-110.965,2.149,36.6,36.8135,1.17,-0.38,0.28543,mm,,2.0,0.42008,mm,,2.0,0.17637750000000002,1.37,0.787401574803,True
50213560,2000-11-26,22:23:32.98,44.684,-110.65299999999999,7.42,1.39,1.16,2,4.0,0.8,0.5,US,LKWY,BH,44.5652,-110.4,2.424,24.0,25.2493,1.64,0.06,1.0604,mm,,2.0,0.8731200000000001,mm,,2.0,0.48338000000000003,1.39,0.539083557951,True
50213560,2000-11-26,22:23:32.98,44.684,-110.65299999999999,7.42,1.39,1.16,2,4.0,0.8,0.5,WY,YMR,HH,44.66867,-110.965,2.149,24.8,25.9293,1.13,-0.38,0.5462,mm,,2.0,1.0659999999999998,mm,,2.0,0.40305,1.39,0.539083557951,True
50222825,2001-01-16,02:08:09.78,44.31399999999999,-110.49600000000001,5.85,2.3,2.22,3,6.0,1.3,0.6,US,AHID,BH,42.7654,-111.1004,1.96,178.9,178.99400000000003,1.99,-0.43,0.22235,mm,,2.0,0.19635,mm,,2.0,0.104675,2.3,1.02564102564,True
50222825,2001-01-16,02:08:09.78,44.31399999999999,-110.49600000000001,5.85,2.3,2.22,3,6.0,1.3,0.6,US,LKWY,BH,44.5652,-110.4,2.424,28.9,29.5732,2.74,0.06,6.9198,mm,,2.0,8.2088,mm,,2.0,3.78215,2.3,1.02564102564,True
50222825,2001-01-16,02:08:09.78,44.31399999999999,-110.49600000000001,5.85,2.3,2.22,3,6.0,1.3,0.6,WY,YMR,HH,44.66867,-110.965,2.149,54.3,54.6304,2.16,-0.38,1.1317,mm,,2.0,1.6616,mm,,2.0,0.698325,2.3,1.02564102564,True
50226155,2001-01-24,19:07:01.56,44.63,-110.74799999999999,7.51,1.23,0.76,2,9.0,0.7,0.6,US,LKWY,BH,44.5652,-110.4,2.424,28.6,29.6801,1.24,0.06,0.2308,mm,,2.0,0.24831,mm,,2.0,0.11977750000000001,1.23,1.1984021304899999,True
50226155,2001-01-24,19:07:01.56,44.63,-110.74799999999999,7.51,1.23,0.76,2,9.0,0.7,0.6,WY,YMR,HH,44.66867,-110.965,2.149,17.7,19.285999999999998,1.21,-0.38,1.5674,mm,,2.0,1.5478,mm,,2.0,0.7788,1.23,1.1984021304899999,True
50236930,2001-03-17,17:32:15.99,44.698,-110.68799999999999,7.76,0.64,1.34,2,2.0,0.6,0.5,US,LKWY,BH,44.5652,-110.4,2.424,27.2,28.4045,0.85,0.06,0.18079,mm,,2.0,0.13072,mm,,2.0,0.0778775,0.64,0.257731958763,True
50236930,2001-03-17,17:32:15.99,44.698,-110.68799999999999,7.76,0.64,1.34,2,2.0,0.6,0.5,WY,YMR,HH,44.66867,-110.965,2.149,22.2,23.5668,0.43,-0.38,0.18170999999999998,mm,,2.0,0.33454,mm,,2.0,0.1290625,0.64,0.257731958763,True
50237245,2001-03-21,11:29:04.56,44.32899999999999,-110.25,11.77,1.77,1.83,2,8.0,0.5,0.7,US,LKWY,BH,44.5652,-110.4,2.424,28.9,31.3672,2.16,0.06,2.3626,mm,,2.0,1.6131,mm,,2.0,0.993925,1.77,0.6796941376379999,True
