Evid,Date,Time,EqLat,EqLon,EqDep,EqML,EqMC,N,Dmin,ErrZ,ErrR,Net,Sta,Cmp,SLat,SLon,SElev,Repi,Rhyp,SML,Corr,AmpE,UnE,PerE,SnrE,AmpN,UnN,PerN,SnrN,halfAmpH,CatMag,H,GoodDep
50154140,1998-04-05,18:23:26.47,44.227,-110.787,5.25,2.77,2.76,4,5.0,1.1,0.7,US,AHID,BH,42.7654,-111.1004,1.96,164.3,164.38299999999998,2.81,-0.43,1.55891,mm,,2.0,1.9414,mm,,2.0,0.8750775,2.77,0.9523809523810001,True
50154140,1998-04-05,18:23:26.47,44.227,-110.787,5.25,2.77,2.76,4,5.0,1.1,0.7,US,LKWY,BH,44.5652,-110.4,2.424,48.7,49.0294,3.35,0.06,13.125,mm,,2.0,6.3869,mm,,2.0,4.877975,2.77,0.9523809523810001,True
50169840,1999-03-06,15:30:27.62,44.23,-110.62799999999999,10.13,1.88,1.92,2,9.0,0.9,0.5,US,AHID,BH,42.7654,-111.1004,1.96,167.1,167.40400000000002,1.78,-0.43,0.09742999999999999,mm,,2.0,0.16,mm,,2.0,0.0643575,1.88,0.888450148075,True
50169840,1999-03-06,15:30:27.62,44.23,-110.62799999999999,10.13,1.88,1.92,2,9.0,0.9,0.5,US,LKWY,BH,44.5652,-110.4,2.424,41.5,42.821000000000005,1.97,0.06,0.67737,mm,,2.0,0.61665,mm,,2.0,0.32350500000000004,1.88,0.888450148075,True
50170605,1999-04-02,11:32:55.15,44.951,-111.48100000000001,8.13,2.21,2.41,2,32.0,1.8,1.8,MB,BUT,EL,46.010834,-112.55666000000001,1.758,144.7,144.915,2.37,-0.23,0.50238,mm,,2.0,0.50238,mm,,2.0,0.25119,2.21,3.93603936039,False
50170605,1999-04-02,11:32:55.15,44.951,-111.48100000000001,8.13,2.21,2.41,2,32.0,1.8,1.8,US,LKWY,BH,44.5652,-110.4,2.424,95.8,96.1811,2.04,0.06,0.24394000000000002,mm,,2.0,0.13435,mm,,2.0,0.0945725,2.21,3.93603936039,False
50170975,1999-04-14,12:19:11.55,44.048,-110.359,1.6,1.99,1.67,2,28.0,8.7,0.8,US,AHID,BH,42.7654,-111.1004,1.96,154.6,154.608,1.86,-0.43,0.17811,mm,,2.0,0.21331,mm,,2.0,0.097855,1.99,17.5,False
50170975,1999-04-14,12:19:11.55,44.048,-110.359,1.6,1.99,1.67,2,28.0,8.7,0.8,US,LKWY,BH,44.5652,-110.4,2.424,57.6,57.6355,2.11,0.06,0.35213,mm,,2.0,0.3601,mm,,2.0,0.1780575,1.99,17.5,False
50174295,1999-06-16,16:38:27.41,44.754,-111.01,4.38,3.26,3.44,5,1.0,1.3,0.9,US,LKWY,BH,44.5652,-110.4,2.424,52.7,52.9185,3.38,0.06,9.7738,mm,,2.0,6.8293,mm,,2.0,4.150775,3.26,0.228310502283,True
50174295,1999-06-16,16:38:27.41,44.754,-111.01,4.38,3.26,3.44,5,1.0,1.3,0.9,WY,YMR,HH,44.66867,-110.965,2.149,10.1,11.069,3.57,-0.38,395.65,mm,,2.0,737.79,mm,,2.0,283.36,3.26,0.228310502283,True
