Evid,EqLon,EqLat,EqDep,CatMag,Namps
50152735,-110.766,44.235,1.76,2.22,2
50153195,-111.11,44.781,11.68,1.98,2
50154140,-110.787,44.227,5.25,2.77,2
50169840,-110.628,44.23,10.13,1.88,2
50170150,-111.056,44.827,12.87,2.12,2
50170420,-111.181,44.739,10.6,2.24,2
50170605,-111.481,44.951,8.13,2.21,2
50170975,-110.359,44.048,1.6,1.99,2
50174145,-111.016,44.755,7.01,2.05,2
50174155,-111.012,44.758,6.29,1.79,2
50174185,-111.111,44.771,9.29,2.14,3
50174240,-111.011,44.758,7.82,2.15,2
50174290,-110.998,44.76,4.82,2.11,2
50174295,-111.01,44.754,4.38,3.26,2
50174300,-111.002,44.757,7.24,3.19,2
50174345,-111.003,44.754,5.53,1.88,2
50174360,-111.007,44.754,5.07,1.88,2
50174505,-111.109,44.773,9.67,1.75,2
50174530,-111.115,44.775,9.53,1.85,2
50174535,-111.119,44.777,10.05,2.23,2
50174560,-111.107,44.771,9.15,2.43,2
50174565,-111.113,44.774,9.63,1.89,2
50174635,-111.004,44.757,7.59,2.39,2
50174660,-110.997,44.757,6.37,1.97,2
50174940,-110.994,44.763,7.05,2.68,2
50175250,-111.115,44.777,8.62,1.55,2
50175620,-110.998,44.758,7.9,2.04,2
50175690,-111.01,44.756,6.73,1.85,2
50175700,-111.018,44.753,8.93,2.05,2
50175725,-111.016,44.754,7.69,2.41,2
50175990,-110.998,44.756,7.4,2.43,2
50176605,-110.993,44.755,8.17,2.43,2
50176730,-111.111,44.778,10.41,1.88,2
50176745,-110.981,44.755,8.96,1.97,2
50176925,-111.016,44.754,7.54,2.02,2
50176945,-111.014,44.757,7.99,1.85,2
50177185,-111.004,44.756,7.29,2.08,2
50177520,-111.016,44.752,8.03,2.33,2
50177585,-110.993,44.764,8.63,1.92,2
50178490,-111.022,44.749,8.44,1.98,2
50178640,-111.106,44.792,11.25,1.97,2
50178830,-110.98,44.755,7.0,1.75,2
50178835,-110.98,44.754,7.51,2.27,2
