Repi,logA0
0,-1.4
5,-1.4
10,-1.5
15,-1.6
20,-1.7
25,-1.9
30,-2.1
35,-2.3
40,-2.4
45,-2.5
50,-2.6
55,-2.7
60,-2.8
65,-2.8
70,-2.8
75,-2.85
80,-2.9
85,-2.9
90,-3.0
95,-3.0
100,-3.0
110,-3.1
120,-3.1
130,-3.2
140,-3.2
150,-3.3
160,-3.3
170,-3.4
180,-3.4
190,-3.5
200,-3.5
210,-3.6
220,-3.65
230,-3.7
240,-3.7
250,-3.8
260,-3.8
270,-3.9
280,-3.9
290,-4.0
300,-4.0
310,-4.1
320,-4.1
330,-4.2
340,-4.2
350,-4.3
360,-4.3
370,-4.3
380,-4.4
390,-4.4
400,-4.5
410,-4.5
420,-4.5
430,-4.6
440,-4.6
450,-4.6
460,-4.6
470,-4.7
480,-4.7
490,-4.7
500,-4.7
510,-4.8
520,-4.8
530,-4.8
540,-4.8
550,-4.8
560,-4.9
570,-4.9
580,-4.9
590,-4.9
600,-4.9
