hypo. distance [km],-logA0
3,-0.6361407318
6,-0.7155654139000001
9,-0.8731602019
12,-1.0900014303
15,-1.3275744322
18,-1.5521309151
21,-1.7549333468000001
25,-1.9411901449000002
30,-2.1081654666
35,-2.2578453828000002
40,-2.4023745415
45,-2.5459260975999998
50,-2.6884047759
55,-2.8220046083
60,-2.9389478943
65,-3.0377133139
70,-3.1098906841
75,-3.1524973561
80,-3.1674119098
85,-3.1644751315
90,-3.1489685919
95,-3.1237222846
100,-3.0942674995
105,-3.0694676991
110,-3.0574204465
115,-3.0660303337
120,-3.0958246265
125,-3.1476700322
130,-3.2160853989
135,-3.2915206278999998
140,-3.36783712
145,-3.4407509068
150,-3.5049102402
155,-3.556311452
160,-3.5950104846
165,-3.6249542522000002
170,-3.6482844409
175,-3.6624141651
180,-3.6686981598
