  sta seedchan net location config   ondate     offdate   digitizer  clip   corr

 AHID   BHE     US    01       1   1997/11/12  2010/04/16 Quanterra 5.87e6 -0.43
 AHID   BHN     US    01       1   1997/11/12  2010/04/16 Quanterra 5.87e6 -0.43
 AHID   BHZ     US    01   exclude 1997/11/12  2010/04/16 Quanterra 5.87e6  0.00
 AHID   BHE     US    01       1   2013/07/01  2015/08/19 Quanterra 5.87e6 -0.43
 AHID   BHN     US    01       1   2013/07/01  2015/08/19 Quanterra 5.87e6 -0.43
 AHID   BHZ     US    01   exclude 2013/07/01  2015/08/19 Quanterra 5.87e6  0.00
 AHID   BHE     US    01       1   2015/08/20  2016/09/30 Q330SR    5.87e6 -0.43
 AHID   BHN     US    01       1   2015/08/20  2016/09/30 Q330SR    5.87e6 -0.43
 AHID   BHZ     US    01   exclude 2015/08/20  2016/09/30 Q330SR    5.87e6  0.00
 AHID   BH1     US    00       1   2015/08/20  2099/01/01 Q330SR    5.87e6 -0.43
 AHID   BH2     US    00       1   2015/08/20  2099/01/01 Q330SR    5.87e6 -0.43
 AHID   BHZ     US    00   exclude 2015/08/20  2099/01/01 Q330SR    5.87e6  0.00
 BGU    HHE     UU    01       1   2001/10/24  2009/11/03 72A-08    3.67e6  0.03
 BGU    HHN     UU    01       1   2001/10/24  2009/11/03 72A-08    3.67e6  0.03
 BGU    HHZ     UU    01   exclude 2001/10/24  2009/11/03 72A-08    3.67e6  0.00
 BGU    HHE     UU    01       1   2009/11/04  2099/01/01 Q330S     5.87e6  0.03
 BGU    HHN     UU    01       1   2009/11/04  2099/01/01 Q330S     5.87e6  0.03
 BGU    HHZ     UU    01   exclude 2009/11/04  2099/01/01 Q330S     5.87e6  0.00
 BGU    ENE     UU    01       2   2001/11/14  2009/11/03 72A-08    5.19e6  0.03
 BGU    ENN     UU    01       2   2001/11/14  2009/11/03 72A-08    5.19e6  0.03
 BGU    ENE     UU    01       2   2009/11/04  2099/01/01 Q330S     8.30e6  0.03
 BGU    ENN     UU    01       2   2009/11/04  2099/01/01 Q330S     8.30e6  0.03
 BOZ    BHE     US    01       1   2000/05/02  2016/09/30 Quanterra 5.87e6  0.17
 BOZ    BHN     US    01       1   2000/05/02  2016/09/30 Quanterra 5.87e6  0.17
 BOZ    BHZ     US    01   exclude 2000/05/02  2016/09/30 Quanterra 5.87e6  0.00
 BOZ    BH1     US    00       1   2011/05/02  2099/01/01 Q330SR    5.87e6  0.17
